Municipio;ibge;cep
BA_CONCEICAO_DO_COITE_(SAO_JOAO);2908408;
BA_CONCEICAO_DO_JACUIPE;2908507;
BA_CONDE;2908606;
BA_CONDEUBA;2908705;
BA_CONDEUBA_(ALEGRE);2908705;
BA_CONTENDAS_DO_SINCORA_(CARAIBUNA);2908804;
BA_CONTENDAS_DO_SINCORA;2908804;
BA_CORACAO_DE_MARIA;2908903;
BA_CORACAO_DE_MARIA_(ITACAVA);2908903;
BA_CORACAO_DE_MARIA_(RETIRO);2908903;
BA_CORDEIROS;2909000;
BA_CORIBE;2909109;
BA_CORIBE_(DESCOBERTO);2909109;
BA_CORONEL_JOAO_SA;2909208;
BA_CORRENTINA;2909307;
BA_CORRENTINA_(ROSARIO);2909307;
BA_CORRENTINA_(SAO_MANOEL_DO_NORTE);2909307;
BA_COTEGIPE;2909406;
BA_COTEGIPE_(JUPAGUA);2909406;
BA_COTEGIPE_(TAGUA);2909406;
BA_CRAVOLANDIA;2909505;
BA_CRISOPOLIS;2909604;
BA_CRISOPOLIS_(BURIL);2909604;
BA_CRISTOPOLIS;2909703;
BA_CRUZ_DAS_ALMAS;2909802;
BA_CURACA;2909901;
BA_CURACA_(BARRO_VERMELHO);2909901;
BA_CURACA_(PATAMUTE);2909901;
BA_CURACA_(POCO_DE_FORA);2909901;
BA_CURACA_(RIACHO_SECO);2909901;
BA_DARIO_MEIRA;2910008;
BA_DIAS_D_AVILA;2910057;
BA_DOM_BASILIO;2910107;
BA_DOM_MACEDO_COSTA;2910206;
BA_ELISIO_MEDRADO;2910305;
BA_ELISIO_MEDRADO_(MONTE_CRUZEIRO);2910305;
BA_ENCRUZILHADA;2910404;
BA_ENCRUZILHADA_(VILA_DO_CAFE);2910404;
BA_ENTRE_RIOS;2910503;
BA_ENTRE_RIOS_(IBATUI);2910503;
BA_ENTRE_RIOS_(SUBAUMA);2910503;
BA_ERICO_CARDOSO;2900504;
BA_ESPLANADA;2910602;
BA_ESPLANADA_(PALAME);2910602;
BA_ESPLANADA_(SAO_JOSE_DO_MUCAMBO);2910602;
BA_EUCLIDES_DA_CUNHA_(ARIBICE);2910701;
BA_EUCLIDES_DA_CUNHA_(CAIMBE);2910701;
BA_EUCLIDES_DA_CUNHA;2910701;
BA_EUCLIDES_DA_CUNHA_(MASSACARA);2910701;
BA_EUNAPOLIS;2910727;
BA_FATIMA;2910750;
BA_FEIRA_DA_MATA;2910776;
BA_FEIRA_DA_MATA_(RAMALHO);2910776;
BA_FEIRA_DE_SANTANA_(BONFIM_DA_FEIRA);2910800;
BA_FEIRA_DE_SANTANA;2910800;
BA_FEIRA_DE_SANTANA_(GOVERNADOR_DR._JOAO_DURVAL_CARNEIRO);2910800;
BA_FEIRA_DE_SANTANA_(HUMILDES);2910800;
BA_FEIRA_DE_SANTANA_(JAGUARA);2910800;
BA_FEIRA_DE_SANTANA_(JAIBA);2910800;
BA_FEIRA_DE_SANTANA_(MARIA_QUITERIA);2910800;
BA_FEIRA_DE_SANTANA_(MATINHA);2910800;
BA_FEIRA_DE_SANTANA_(TIQUARUCU);2910800;
BA_FILADELFIA;2910859;
BA_FIRMINO_ALVES;2910909;
BA_FIRMINO_ALVES_(ITAIA);2910909;
BA_FLORESTA_AZUL;2911006;
BA_FORMOSA_DO_RIO_PRETO;2911105;
BA_GANDU;2911204;
BA_GAVIAO;2911253;
BA_GENTIO_DO_OURO_(GAMELEIRA_DO_ASSURUA);2911303;
BA_GENTIO_DO_OURO;2911303;
BA_GENTIO_DO_OURO_(IBITUNANE);2911303;
BA_GENTIO_DO_OURO_(ITAJUBAQUARA);2911303;
BA_GENTIO_DO_OURO_(PITUBA);2911303;
BA_GENTIO_DO_OURO_(SANTO_INACIO);2911303;
BA_GLORIA;2911402;
BA_GONGOGI;2911501;
BA_GONGOGI_(TAPIRAMA);2911501;
BA_GOVERNADOR_MANGABEIRA;2911600;
BA_GUAJERU;2911659;
BA_GUANAMBI;2911709;
BA_GUANAMBI_(CERAIMA);2911709;
BA_GUANAMBI_(MORRINHOS);2911709;
BA_GUANAMBI_(MUTAS);2911709;
BA_GUARATINGA;2911808;
BA_GUARATINGA_(BURANHEM);2911808;
BA_HELIOPOLIS;2911857;
BA_IACU;2911907;
BA_IACU_(JOAO_AMARO);2911907;
BA_IACU_(LAJEDO_ALTO);2911907;
BA_IBIASSUCE;2912004;
BA_IBICARAI;2912103;
BA_IBICOARA;2912202;
BA_IBICOARA_(CASCAVEL);2912202;
BA_IBICUI;2912301;
BA_IBICUI_(AGUA_DOCE);2912301;
BA_IBICUI_(IBITUPA);2912301;
BA_IBIPEBA;2912400;
BA_IBIPEBA_(IGUITU);2912400;
BA_IBIPEBA_(LAGOA_GRANDE);2912400;
BA_IBIPEBA_(MIROROS);2912400;
BA_IBIPITANGA;2912509;
BA_IBIQUERA;2912608;
BA_IBIRAPITANGA;2912707;
BA_IBIRAPUA;2912806;
BA_IBIRATAIA;2912905;
BA_IBIRATAIA_(ALGODAO);2912905;
BA_IBITIARA;2913002;
BA_IBITIARA_(MOCAMBO);2913002;
BA_IBITIARA_(OLHOS_D_AGUA_DO_SECO);2913002;
BA_IBITITA;2913101;
BA_IBITITA_(CANOAO);2913101;
